Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
E021,302,0.946136,0.274831,E21_10uM,compound,21,E,0.708324,-0.996068
E022,288,1.00361,0.276945,E22_10uM,compound,22,E,0.827033,-0.374102
E023,164,0.587647,0.172318,GDC0941_1uM,pos.akt,23,E,-0.0321021,-4.87545
E024,239,1.11761,0.266775,DMSO_1E-3,neg,24,E,1.06249,0.859571
F001,223,0.663474,0.17592,F1_10uM,compound,1,F,0.124511,-4.05489
F002,309,0.995173,0.282048,F2_10uM,compound,2,F,0.809604,-0.46542
F003,228,1.14157,0.252936,F3_10uM,compound,3,F,1.11198,1.11884
F004,336,1.06053,0.287472,F4_10uM,compound,4,F,0.944583,0.241788
F005,267,1.11661,0.254772,F5_10uM,compound,5,F,1.06041,0.848672
F006,297,1.09983,0.257852,F6_10uM,compound,6,F,1.02577,0.667172
F007,330,1.09947,0.272277,F7_10uM,compound,7,F,1.02502,0.663234
F008,339,1.02837,0.254734,F8_10uM,compound,8,F,0.878173,-0.106162
F009,316,1.0604,0.250482,F9_10uM,compound,9,F,0.944317,0.240394
F010,218,0.960857,0.233879,F10_10uM,compound,10,F,0.738727,-0.836773
F011,320,1.01804,0.259089,F11_10uM,compound,11,F,0.856826,-0.218008
F012,310,0.886247,0.225655,F12_10uM,compound,12,F,0.584628,-1.64416
F013,362,1.07772,0.255171,F13_10uM,compound,13,F,0.980105,0.427902
F014,338,1.02012,0.259028,F14_10uM,compound,14,F,0.861125,-0.195482
F015,402,1.16828,0.37629,F15_10uM,compound,15,F,1.16714,1.40787
F016,302,0.716364,0.215934,F16_10uM,compound,16,F,0.233751,-3.48255
F017,247,1.03577,0.245189,F17_10uM,compound,17,F,0.893456,-0.0260876
F018,328,0.994834,0.267833,F18_10uM,compound,18,F,0.808905,-0.469083
F019,247,1.03134,0.263244,F19_10uM,compound,19,F,0.884311,-0.0740005
F020,264,0.949657,0.259088,F20_10uM,compound,20,F,0.715596,-0.957966
F021,177,0.452856,0.135102,F21_10uM,compound,21,F,-0.310502,-6.3341
F022,301,0.921779,0.265249,F22_10uM,compound,22,F,0.658016,-1.25965
F023,202,0.607765,0.195606,GDC0941_1uM,pos.akt,23,F,0.00944953,-4.65775
F024,217,1.13365,0.258414,DMSO_1E-3,neg,24,F,1.09562,1.03312
G001,294,0.998164,0.274337,G1_10uM,compound,1,G,0.815782,-0.433054
G002,424,0.98692,0.279361,G2_10uM,compound,2,G,0.792559,-0.554726
G003,313,1.11523,0.265416,G3_10uM,compound,3,G,1.05758,0.83381
G004,434,1.05034,0.301863,G4_10uM,compound,4,G,0.923541,0.131541
G005,294,1.09886,0.260325,G5_10uM,compound,5,G,1.02375,0.656585
G006,254,1.10251,0.27327,G6_10uM,compound,6,G,1.03129,0.696087
G007,377,1.1006,0.267811,G7_10uM,compound,7,G,1.02735,0.675424
G008,529,1.07067,0.267894,G8_10uM,compound,8,G,0.965536,0.351568
G009,375,1.02504,0.254903,G9_10uM,compound,9,G,0.871288,-0.142231
G010,312,1.06663,0.257689,G10_10uM,compound,10,G,0.957191,0.307847
G011,524,1.00847,0.256697,G11_10uM,compound,11,G,0.837058,-0.321578
G012,430,1.03767,0.255834,G12_10uM,compound,12,G,0.897376,-0.00554931
G013,408,1.06157,0.254534,G13_10uM,compound,13,G,0.946741,0.253095
G014,568,1.07966,0.25473,G14_10uM,compound,14,G,0.984108,0.448872
